review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme,Assigned
"Reviewed in the United States on September 25, 2021","







  
  
    Enjoying so far
  
","









  
  
    
  Stream quality great.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,stream quality,Gaby
"Reviewed in the United States on October 9, 2021","







  
  
    Sad
  
","









  
  
    
  Not worth the $$

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,price,Gaby
"Reviewed in the United States on January 9, 2022","







  
  
    Upgrades
  
","









  
  
    
  Don’t like that everything you want to watch on peacock needs to be an upgrade that you pay for

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,had to pay,Gaby
"Reviewed in the United States on March 8, 2022","







  
  
    Decent
  
","









  
  
    
  The app is perfect. Not many obtains of good stuff to watch

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,neutral,no,"good app, lacks selection",Gaby
"Reviewed in the United States on January 18, 2022","







  
  
    Entertainment
  
","









  
  
    
  I am very satisfied with my fire stick and all the channels and programs that I can get I’ve never seen anything like it I am glad that I purchase this item Thank You

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,Selection,Gaby
"Reviewed in the United States on March 1, 2022","







  
  
    Not worth it
  
","









  
  
    
  And free trail my ass watch 1 episode and then be ready to Pau. Not worth it when way more other options for free trails and better companies with better shows to watch

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",19,negative,no,had to pay,Gaby
"Reviewed in the United States on March 8, 2022","







  
  
    Love it
  
","









  
  
    
  Love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,none,Gaby
"Reviewed in the United States on February 13, 2022","







  
  
    Love it that I can watch the Super Bowl without cable!!
  
","









  
  
    
  Love it!!!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,Selection,Gaby
"Reviewed in the United States on January 11, 2022","







  
  
    Don’t have
  
","









  
  
    
  Do not have

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,neutral,no,none,Gaby
"Reviewed in the United States on January 2, 2022","







  
  
    Pretty good
  
","









  
  
    
  Kidd use app everyday

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,none,Gaby
"Reviewed in the United States on December 30, 2021","







  
  
    Great for catching up on shows.
  
","









  
  
    
  I liked the fact that I was able to watch older seasons of TV shows that I like.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,Selection,Gaby
"Reviewed in the United States on January 12, 2022","







  
  
    Crashed my fire atick
  
","









  
  
    
  Once I downloaded the app Peacock I shut off my tv and now this is all I get, I cant get any further, I went to another tv and downloaded Peacock and everything was very slow and I had to wait for the fire stick to catch up before I could navigate thru settings.... I chose to delete Peacock before I turned that tv off... now I have to go buy a new fire stick,,, do what you want but I wouldn't,,, p.s.  the peacock content looked really good though from the half hour of my visit but killing your fire stick wasn't worth it in my opinion.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",19, negative,yes,app navigation,Gaby
"Reviewed in the United States on September 8, 2021","







  
  
    No different other than Netflix
  
","









  
  
    
  😏

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,neutral,no,none,Gaby
"Reviewed in the United States on August 30, 2021","







  
  
    Big fan!  Probably my favorite streaming service!!!
  
","









  
  
    
  If I had a complaint it'd be that I have to switch inputs from antenna channels to Peacock.  But I can access everything but the local channels so it's actually pretty sweet.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,none,Gaby
"Reviewed in the United States on December 26, 2021","







  
  
    Good
  
","









  
  
    
  Good shows

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,Selection,Gaby
"Reviewed in the United States on March 19, 2022","







  
  
    Great experience
  
","









  
  
    
  Great experience

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,positive,no,none,Gaby
"Reviewed in the United States on February 14, 2022","







  
  
    Absolutely ruined the super bowl
  
","









  
  
    
  This apps inability to remember a save point during a live event like the super bowl caused me to miss the entirety of the 4th quarter. If your streaming service cannot retain replay rights for an event that grandiose for up to one hour after event end, perhaps you should get out of the steaming service. Some ppl need to pause these thing, and to have play back abilities removed is a horrifying realization after shaking a screen awake after a minute of sleep.I will never use peacock again. other than being a cable giant that has contracts for major events,they being nothing to the table

  
",2.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",9,negative,yes,pause live stream,Gaby
"Reviewed in the United States on October 4, 2021","







  
  
    It’s ok
  
","









  
  
    
  Just ok

  
",3.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",9,neutral,no,none,Gaby
"Reviewed in the United States on December 10, 2021","







  
  
    Very slow.
  
","









  
  
    
  Nice app, but it takes much longer to load than any other app on my FireTv.

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,negative,yes,slow,Gaby
"Reviewed in the United States on September 26, 2021","







  
  
    Excited for experience, disappointed by ""bugginess""
  
","









  
  
    
  Using on Fire TV and excited to view programming.  However, stream consistently laggs and/ or buffers.  I understand this could also by an issue with my Fire TV, however I experience similar issues on my cable system box on our regular TV.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",9,negative,yes,buffering,Gaby
"Reviewed in the United States on November 22, 2021","







  
  
    Love this channel  best movies
  
","









  
  
    
  Like it

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,positive,no,Selection,Gaby
"Reviewed in the United States on October 31, 2021","







  
  
    Love this channel
  
","









  
  
    
  Watching this channel everyday

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,positive,no,none,Gaby
"Reviewed in the United States on January 4, 2022","







  
  
    Awesome
  
","









  
  
    
  Great quality

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,positive,no,none,Gaby
"Reviewed in the United States on March 4, 2022","







  
  
    Rip Off
  
","









  
  
    
  Peacocks Free!  Ahh nope!  If you follow any series, you get the first one free...then pay up!!!  Another ""free"" streaming service you have to pay for!  ☹️

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",9,negative,no,had to pay,Gaby
"Reviewed in the United States on August 7, 2021","







  
  
    Hard to upgrade to premium plus
  
","









  
  
    
  Was hooked on a show but I can’t upgrade to premium plus to get rid of it the commercial. Upgrading should be easy and it’s not.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",9,negative,no,had to pay,Gaby
"Reviewed in the United States on August 3, 2021","







  
  
    Sucks sucks sucks
  
","









  
  
    
  Was unable to play anything on this channel. Called customer service, and still did  not watch Boss Baby. Smdh. Paid a month for nothing.

  
",1.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",10,negative,yes,unable to play,Gaby
"Reviewed in the United States on January 9, 2022","







  
  
    Peacock
  
","









  
  
    
  I love my channels and able to watch spanish

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,positive,no,Selection,Gaby
"Reviewed in the United States on November 21, 2021","







  
  
    Easy access
  
","









  
  
    
  App worked well but already have other streaming services and decided not needed

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,neutral,no,none,Gaby
"Reviewed in the United States on September 23, 2021","







  
  
    Lots of movies
  
","









  
  
    
  I love it

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,positive,no,Selection,Gaby
"Reviewed in the United States on August 24, 2021","







  
  
    Only works if you have cable.
  
","









  
  
    
  Only works with cable providers.

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,negative,yes,need cable provider,Gaby
"Reviewed in the United States on November 15, 2021","







  
  
    Thumb down
  
","









  
  
    
  I don’t like this streaming because they are very lousy on the picture! You wouldn’t enjoy this..

  
",2.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,negative,yes,buffering/image quality,Gaby
"Reviewed in the United States on November 4, 2021","







  
  
    Fun app!
  
","









  
  
    
  Love it so far!

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,positive,no,none,Gaby
"Reviewed in the United States on September 14, 2021","







  
  
    It's great for binge watching.
  
","









  
  
    
  My mom is stuck watching Monk. She has watched all e seasons at least 20 times. It's The golden girls, everyone loves Raymond and monk when the Ravens aren't on. Lol

  
",4.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",10,positive,no,Selection,Gaby
"Reviewed in the United States on March 13, 2022","







  
  
    Too much $$&
  
","









  
  
    
  You have to pay for almost everything and what you can see for free isn’t great.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",10,negative,no,had to pay,Gaby
"Reviewed in the United States on October 23, 2021","







  
  
    No complaints
  
","









  
  
    
  I don't really watch it but when I do it's great.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",10,neutral,no,none,Gaby
"Reviewed in the United States on July 29, 2021","







  
  
    Bugs need fixed
  
","









  
  
    
  Constantly boots me back out of the app when in the middle of watching something

  
",2.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",30,negative,yes,buffering/image quality,Gaby
"Reviewed in the United States on September 24, 2021","







  
  
    OK
  
","









  
  
    
  I won't pay for it.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,negative,no,had to pay,Gaby
"Reviewed in the United States on November 5, 2021","







  
  
    This is great streaming platform can you fix my wifi server?
  
","









  
  
    
  Watching TV Series.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,neutral,no,none,Gaby
"Reviewed in the United States on February 16, 2022","







  
  
    Entertaining
  
","









  
  
    
  Really good for watching old shows

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,positive,no,Selection,Gaby
"Reviewed in the United States on October 23, 2021","







  
  
    Quit teasing with the series.
  
","









  
  
    
  Fantastic shows, until you get so interested you have to pay. Consumer... Sucks.... Marketing.. hell if a concept. Good job there, but it will deter from your station to others. Thank you!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,negative,no,had to pay,Gaby
"Reviewed in the United States on August 23, 2021","







  
  
    Added by mistake
  
","









  
  
    
  Added by mistake, lots of old stuff

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,negative,no,Selection,Gaby
"Reviewed in the United States on February 25, 2022","







  
  
    It’s free, that’s good
  
","









  
  
    
  A few good shows by I hate MSNBC witch owns peacock TV. Luckily it’s free. I wouldn’t pay a penny for it if I had too.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,negative,no,had to pay,Gaby
"Reviewed in the United States on September 23, 2021","







  
  
    Great Shows!!
  
","









  
  
    
  I wasn't sure if I would use this very much, but as it turns out, it has numerous programs and movies that I enjoy.  The value is really good.

  
",5.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",30,positive,no,Selection,Gaby
"Reviewed in the United States on September 10, 2021","







  
  
    Never got to watch
  
","









  
  
    
  It never worked for me 😫

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",30,negative,no,didnt work,Gaby
"Reviewed in the United States on October 30, 2021","







  
  
    O by gj my to
  
","









  
  
    
  Osb s you'd judge me for the child support or custody of their siblings

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",30,exclude,,,Gaby
"Reviewed in the United States on August 4, 2021","







  
  
    Peacock TV Best Steaming!!!
  
","









  
  
    
  I love Peacock TV, its the best steaming ever!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,none,Gaby
"Reviewed in the United States on October 5, 2021","







  
  
    Yay we can watch the Fighting Irish again!!
  
","









  
  
    
  We’re huge NOTREDAME fans and now we can watch the games and even hear the marching band!!!!!We’ve watched movies too and other football  and love peacock ‼️Have recommended it to friends ‼️

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,Selection,Gaby
"Reviewed in the United States on September 28, 2021","







  
  
    Awesome
  
","









  
  
    
  Awesome app lots of shows

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,Selection,Gaby
"Reviewed in the United States on September 7, 2021","







  
  
    Programs
  
","









  
  
    
  Lots of movies

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,Selection,Gaby
"Reviewed in the United States on March 8, 2022","







  
  
    Mom loves it
  
","









  
  
    
  Good shows to watch wish more was free

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,neutral,no,had to pay,Gaby
"Reviewed in the United States on March 15, 2022","







  
  
    Love the shows
  
","









  
  
    
  Love the shows, so far!!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,Selection,Gaby
"Reviewed in the United States on March 4, 2022","







  
  
    Easy to use
  
","









  
  
    
  Great app

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,positive,no,none,Gaby
"Reviewed in the United States on September 14, 2021","







  
  
    They give you a little for free...just to lure you in to pay for the good shows.
  
","









  
  
    
  Lack of complete, good sports coverage...to get it, you have to pay.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,negative,no,had to pay,Gaby
"Reviewed in the United States on November 11, 2021","







  
  
    Good channel
  
","









  
  
    
  Good channel

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,neutral,no,none,Gaby
"Reviewed in the United States on November 25, 2021","







  
  
    N/A
  
","









  
  
    
  N/A

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",20,exclude,no,none,Gaby
"Reviewed in the United States on September 17, 2021","







  
  
    Not working in Puerto Rico
  
","









  
  
    
  Don't know what is happening it's not working here in Puerto Rico , I used while in vacation at my son's house and like it very much, but don't know what is wrong that I can't seem to make it work here. I hope someone can fix it 😂

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,negative,yes,use in other geographies,Gaby
"Reviewed in the United States on January 4, 2022","







  
  
    I did not order this
  
","









  
  
    
  This is the first tom3 I have seen this.

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,negative,no,didnt order,Gaby
"Reviewed in the United States on March 8, 2022","







  
  
    Junk
  
","









  
  
    
  Don’t waist your time and money on this junk

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,negative,no,none,Gaby
"Reviewed in the United States on November 30, 2021","







  
  
    N/A
  
","









  
  
    
  N/A

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,exclude,no,none,Gaby
"Reviewed in the United States on December 30, 2021","







  
  
    Awesome shows
  
","









  
  
    
  Great app

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,positive,no,Selection,Gaby
"Reviewed in the United States on September 1, 2021","







  
  
    Good movies for everyone
  
","









  
  
    
  So happy to have a channel that includes PG movies

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,positive,no,Selection,Gaby
"Reviewed in the United States on March 14, 2022","







  
  
    Different shows
  
","









  
  
    
  Different shows to explore

  
",4.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,neutral,no,Selection,Gaby
"Reviewed in the United States on March 8, 2022","







  
  
    Awesome
  
","









  
  
    
  So awesome

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,positive,no,none,Gaby
"Reviewed in the United States on October 5, 2021","







  
  
    Great shows and streaming
  
","









  
  
    
  Has everything you need. One stop shop..

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,positive,no,one stop shop,Gaby
"Reviewed in the United States on February 1, 2022","







  
  
    Never watched
  
","









  
  
    
  Never watched - my fire stick doesn’t work half the time

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",7,negative,yes,fire stick not working,Gaby
"Reviewed in the United States on July 25, 2021","







  
  
    does not work for me
  
","









  
  
    
  You end up waiting for the app forever then the screen goes blank.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,negative,,,Gaby
"Reviewed in the United States on January 17, 2022","







  
  
    I love it
  
","









  
  
    
  Commercials

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,positive,no,none,Gaby
"Reviewed in the United States on September 15, 2021","







  
  
    Picture quality is great and the variety of entertainment is awesome
  
","









  
  
    
  I am able to see programs that I missed seeing and a great variety is offered

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,positive,no,Selection,Gaby
"Reviewed in the United States on August 11, 2021","







  
  
    too many commercials
  
","









  
  
    
  Headline says it all

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,negative,no,too many commercials,Gaby
"Reviewed in the United States on February 21, 2022","







  
  
    Charging way too soon
  
","









  
  
    
  One episode and the looking for premium TV charge. Way too soon.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,negative,no,had to pay,Gaby
"Reviewed in the United States on September 16, 2021","







  
  
    Buggy App
  
","









  
  
    
  The app has a lot of lag. You can open it and it takes nearly 30 seconds to load. It's not a network issue, because other apps are fast to load. It also has a bug related to going to the screensaver. If you walk away after pausing the app, and it goes to the screensaver, the whole stick has to be unplugged and started again, as the remote is unresponsive. Again, it's only in this app that the fire stick becomes unresponsive. We also get occasional (maybe 3-4 times a week) warnings our bluetooth remote needs to be paired when using Peacock. But never have gotten that message in Netflix, Hulu, Prime, etc. So it's again a bug in the Peacock app. I've reported that, and been told it's not big bugs, so Peacock isn't interested in bug reports. It works, it's just a pain to have to work around their obvious bugs.

  
",2.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",48,negative,yes,buffering/bug,Gaby
"Reviewed in the United States on January 17, 2022","







  
  
    Don’t have
  
","









  
  
    
  Don’t have

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,exclude,no,none,Gaby
"Reviewed in the United States on August 19, 2021","







  
  
    Programming choices are good….but
  
","









  
  
    
  It logs me out and I have to sometimes sign back in.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,neutral,yes,Bug,Gaby
"Reviewed in the United States on September 9, 2021","







  
  
    Don't Complain about the ""free"", You get better than you pay for...
  
","









  
  
    
  UPDATED: 10-08-2021:  They EARN 5 STARS for FREE and we'll see for what I am paying for. We have ""Peacocked"" for about a year, free. Now, I'll be buying the ANNUAL $49.99 streaming service, instead of the $4.99 per month subscription.I have to agree that the free version does seem to pay with the volume settings, randomly;  Hopefully the Premium doesn't, else I'll likely not renew. I don't mind watching commercials:  I'm a computer-savvy sixty-PLUS individual, so I won't go to the ""Commecial Free"" / ""Downloadable"" Super-Version.For some reason, the FireStick-Peacock app (free) doesn't often disconnect (IMPROVED!), like Paramount app (paid) does, but both will send you to your TV set / Amazon Device HOMESCREEN and might actually turn off your device.We find it odd that some ""Law & Order"" and ""CSI"" series are to be found on each, but... Great!Since Peacock is NBC and Paramount is carrying CBS We get some of the best entertainment, commercials and all. That might allow us to delete a good CABLE-CUTTERS option (Philo $20 per month Subscription).

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,positive,no,none,Gaby
"Reviewed in the United States on February 21, 2022","







  
  
    Decent
  
","









  
  
    
  I like it

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",48,neutral,no,none,Gaby
"Reviewed in the United States on January 16, 2022","







  
  
    Yes
  
","









  
  
    
  Yes

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,exclude,no,none,Gaby
"Reviewed in the United States on February 27, 2022","







  
  
    Freezing up
  
","









  
  
    
  Freezing up

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,neutral,yes,buffering/bug,Gaby
"Reviewed in the United States on December 31, 2021","







  
  
    Hit & Miss
  
","









  
  
    
  This app works great on an iPad but not so much with the Firestick.  The picture freezes and sometimes shut down while using the app.  I've had to clear the cache and delete the app before re-installing.  Not to mention there's a lot of buffering.  If I wasn't in the middle of a binge I would cancel the subscription and move along.  Once done I plan to do just that.  I would rather use the app with the Firestick and not the iPad.

  
",2.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",39,negative,yes,buffering/bug,Gaby
"Reviewed in the United States on January 23, 2022","







  
  
    Only good for nfl SOMETIMES
  
","









  
  
    
  I'll be cancelling after the season is done for football, even the NFL channel doesn't cover all the games,

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",39,negative,no,Selection,Gaby
"Reviewed in the United States on September 6, 2021","







  
  
    I like it
  
","









  
  
    
  Liked it all just like cable it's nice

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,neutral,no,none,Gaby
"Reviewed in the United States on September 30, 2021","







  
  
    Get all my local channels and I l9ve it
  
","









  
  
    
  Used this to get my local channels since I do not have cable only Roku

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,positive,no,Selection,Gaby
"Reviewed in the United States on January 31, 2022","







  
  
    No live tv
  
","









  
  
    
  Would love to give it 5 stars if they had newer seasons of shows and had a live option like paramount plus.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,negative,no,Selection,Gaby
"Reviewed in the United States on September 15, 2021","







  
  
    excellent
  
","









  
  
    
  best to watch shows movies

  
",5.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",39,positive,no,none,Gaby
"Reviewed in the United States on March 19, 2022","







  
  
    Not the greatest
  
","









  
  
    
  App is constantly crashing. But when it works it is great

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",39,neutral,yes,buffering/bug,Gaby
